J.Segura (5.7), 2016`Arizona Diamondbacks
I.Rodriguez (6.4), 1998`Texas Rangers
R.Clemens (8.2), 1998`Toronto Blue Jays
V.Guerrero (7.4), 1998`Montreal Expos
G.Maddux (7.7), 1997`Atlanta Braves
M.Mussina (5.6), 1997`Baltimore Orioles
N.Garciaparra (6.6), 1997`Boston Red Sox
M.Grace (4.2), 1997`Chicago Cubs
F.Thomas (7.3), 1997`Chicago White Sox
J.Shaw (3.6), 1997`Cincinnati Reds
J.Thome (5.4), 1997`Cleveland Indians
L.Walker (9.8), 1997`Colorado Rockies
J.Thompson (7.7), 1997`Detroit Tigers
C.Biggio (9.4), 1997`Houston Astros
K.Appier (5.5), 1997`Kansas City Royals
T.Salmon (4.9), 1997`Anaheim Angels
M.Piazza (8.7), 1997`Los Angeles Dodgers
K.Brown (6.8), 1997`Florida Marlins
J.Cirillo (5.3), 1997`Milwaukee Brewers
C.Knoblauch (6.7), 1997`Minnesota Twins
E.Alfonzo (6.2), 1997`New York Mets
A.Pettitte (8.4), 1997`New York Yankees
M.McGwire (3.1), 1997`Oakland Athletics
C.Schilling (6.3), 1997`Philadelphia Phillies
F.Cordova (4.3), 1997`Pittsburgh Pirates
T.Gwynn (4.3), 1997`San Diego Padres
B.Bonds (8.1), 1997`San Francisco Giants
K.Griffey (9.1), 1997`Seattle Mariners
R.Lankford (5.2), 1997`St. Louis Cardinals
I.Rodriguez (6.5), 1997`Texas Rangers
R.Clemens (12.1), 1997`Toronto Blue Jays
P.Martinez (8.8), 1997`Montreal Expos
J.Smoltz (7.7), 1996`Atlanta Braves
B.Anderson (6.9), 1996`Baltimore Orioles
R.Clemens (7.8), 1996`Boston Red Sox
S.Sosa (5.4), 1996`Chicago Cubs
A.Fernandez (6.4), 1996`Chicago White Sox
B.Larkin (7.2), 1996`Cincinnati Reds
J.Thome (7.5), 1996`Cleveland Indians
E.Burks (7.9), 1996`Colorado Rockies
B.Higginson (3.6), 1996`Detroit Tigers
J.Bagwell (7.5), 1996`Houston Astros
K.Appier (6.1), 1996`Kansas City Royals
J.Edmonds (5.0), 1996`California Angels
M.Piazza (5.4), 1996`Los Angeles Dodgers
K.Brown (7.9), 1996`Florida Marlins
B.McDonald (5.4), 1996`Milwaukee Brewers
C.Knoblauch (8.6), 1996`Minnesota Twins
B.Gilkey (8.0), 1996`New York Mets
A.Pettitte (5.6), 1996`New York Yankees
M.McGwire (6.4), 1996`Oakland Athletics
C.Schilling (4.8), 1996`Philadelphia Phillies
D.Neagle (6.0), 1996`Pittsburgh Pirates
K.Caminiti (7.6), 1996`San Diego Padres
B.Bonds (9.6), 1996`San Francisco Giants
K.Griffey (9.7), 1996`Seattle Mariners
B.Jordan (5.4), 1996`St. Louis Cardinals
K.Hill (6.6), 1996`Texas Rangers
P.Hentgen (8.5), 1996`Toronto Blue Jays
J.Fassero (5.3), 1996`Montreal Expos
G.Maddux (9.6), 1995`Atlanta Braves
M.Mussina (6.1), 1995`Baltimore Orioles
J.Valentin (8.3), 1995`Boston Red Sox
S.Sosa (5.3), 1995`Chicago Cubs
F.Thomas (5.3), 1995`Chicago White Sox
R.Sanders (6.6), 1995`Cincinnati Reds
A.Belle (6.9), 1995`Cleveland Indians
L.Walker (4.7), 1995`Colorado Rockies
D.Wells (4.5), 1995`Detroit Tigers
C.Biggio (6.3), 1995`Houston Astros
K.Appier (4.6), 1995`Kansas City Royals
T.Salmon (6.6), 1995`California Angels
M.Piazza (6.2), 1995`Los Angeles Dodgers
C.Hammond (3.3), 1995`Florida Marlins
R.Bones (3.4), 1995`Milwaukee Brewers
C.Knoblauch (6.7), 1995`Minnesota Twins
J.Kent (3.2), 1995`New York Mets
B.Williams (6.4), 1995`New York Yankees
M.McGwire (5.5), 1995`Oakland Athletics
R.Bottalico (2.9), 1995`Philadelphia Phillies
D.Neagle (4.6), 1995`Pittsburgh Pirates
A.Ashby (5.0), 1995`San Diego Padres
B.Bonds (7.5), 1995`San Francisco Giants
R.Johnson (8.7), 1995`Seattle Mariners
B.Jordan (5.1), 1995`St. Louis Cardinals
K.Rogers (5.8), 1995`Texas Rangers
A.Leiter (5.7), 1995`Toronto Blue Jays
P.Martinez (4.1), 1995`Montreal Expos
G.Maddux (8.7), 1994`Atlanta Braves
M.Mussina (5.4), 1994`Baltimore Orioles
R.Clemens (6.1), 1994`Boston Red Sox
S.Sosa (3.8), 1994`Chicago Cubs
F.Thomas (6.3), 1994`Chicago White Sox
B.Larkin (3.9), 1994`Cincinnati Reds
K.Lofton (7.2), 1994`Cleveland Indians
M.Freeman (4.6), 1994`Colorado Rockies
T.Phillips (4.7), 1994`Detroit Tigers
J.Bagwell (8.2), 1994`Houston Astros
D.Cone (6.8), 1994`Kansas City Royals
C.Finley (3.4), 1994`California Angels
K.Gross (4.0), 1994`Los Angeles Dodgers
J.Conine (2.8), 1994`Florida Marlins
R.Bones (4.0), 1994`Milwaukee Brewers
C.Knoblauch (4.0), 1994`Minnesota Twins
B.Saberhagen (5.7), 1994`New York Mets
W.Boggs (4.5), 1994`New York Yankees
R.Henderson (3.5), 1994`Oakland Athletics
D.Jackson (4.7), 1994`Philadelphia Phillies
J.Bell (3.4), 1994`Pittsburgh Pirates
T.Gwynn (4.2), 1994`San Diego Padres
B.Bonds (6.2), 1994`San Francisco Giants
K.Griffey (6.9), 1994`Seattle Mariners
M.Whiten (3.1), 1994`St. Louis Cardinals
W.Clark (3.6), 1994`Texas Rangers
P.Hentgen (5.3), 1994`Toronto Blue Jays
M.Alou (5.1), 1994`Montreal Expos
R.Gant (6.5), 1993`Atlanta Braves
C.Hoiles (6.8), 1993`Baltimore Orioles
D.Darwin (5.7), 1993`Boston Red Sox
R.Wilkins (6.6), 1993`Chicago Cubs
F.Thomas (6.2), 1993`Chicago White Sox
J.Rijo (10.2), 1993`Cincinnati Reds
K.Lofton (7.6), 1993`Cleveland Indians
A.Galarraga (3.5), 1993`Colorado Rockies
T.Phillips (5.6), 1993`Detroit Tigers
J.Bagwell (5.4), 1993`Houston Astros
K.Appier (9.3), 1993`Kansas City Royals
M.Langston (8.7), 1993`California Angels
M.Piazza (7.0), 1993`Los Angeles Dodgers
B.Harvey (4.0), 1993`Florida Marlins
G.Vaughn (6.7), 1993`Milwaukee Brewers
C.Knoblauch (3.6), 1993`Minnesota Twins
D.Gooden (4.2), 1993`New York Mets
J.Key (6.2), 1993`New York Yankees
R.Henderson (4.5), 1993`Oakland Athletics
L.Dykstra (6.5), 1993`Philadelphia Phillies
J.Bell (6.2), 1993`Pittsburgh Pirates
G.Harris (4.8), 1993`San Diego Padres
B.Bonds (9.9), 1993`San Francisco Giants
K.Griffey (8.7), 1993`Seattle Mariners
G.Jefferies (5.1), 1993`St. Louis Cardinals
R.Palmeiro (6.9), 1993`Texas Rangers
J.Olerud (7.7), 1993`Toronto Blue Jays
M.Grissom (5.2), 1993`Montreal Expos
T.Pendleton (4.9), 1992`Atlanta Braves
M.Mussina (8.2), 1992`Baltimore Orioles
R.Clemens (8.9), 1992`Boston Red Sox
G.Maddux (9.4), 1992`Chicago Cubs
F.Thomas (6.9), 1992`Chicago White Sox
J.Rijo (5.9), 1992`Cincinnati Reds
K.Lofton (6.6), 1992`Cleveland Indians
T.Phillips (5.0), 1992`Detroit Tigers
S.Finley (5.7), 1992`Houston Astros
K.Appier (8.1), 1992`Kansas City Royals
J.Abbott (5.8), 1992`California Angels
B.Butler (4.8), 1992`Los Angeles Dodgers
B.Wegman (4.8), 1992`Milwaukee Brewers
K.Puckett (7.1), 1992`Minnesota Twins
S.Fernandez (6.2), 1992`New York Mets
M.Perez (6.0), 1992`New York Yankees
M.McGwire (6.4), 1992`Oakland Athletics
D.Daulton (6.9), 1992`Philadelphia Phillies
B.Bonds (9.0), 1992`Pittsburgh Pirates
G.Sheffield (6.2), 1992`San Diego Padres
B.Swift (4.6), 1992`San Francisco Giants
E.Martinez (6.5), 1992`Seattle Mariners
B.Tewksbury (6.3), 1992`St. Louis Cardinals
K.Brown (4.8), 1992`Texas Rangers
R.Alomar (6.6), 1992`Toronto Blue Jays
M.Grissom (5.4), 1992`Montreal Expos
T.Glavine (9.3), 1991`Atlanta Braves
C.Ripken (11.5), 1991`Baltimore Orioles
R.Clemens (8.0), 1991`Boston Red Sox
R.Sandberg (7.0), 1991`Chicago Cubs
F.Thomas (6.9), 1991`Chicago White Sox
B.Larkin (6.1), 1991`Cincinnati Reds
G.Swindell (3.8), 1991`Cleveland Indians
L.Whitaker (6.7), 1991`Detroit Tigers
S.Finley (5.1), 1991`Houston Astros
B.Saberhagen (5.1), 1991`Kansas City Royals
J.Abbott (7.6), 1991`California Angels
B.Butler (5.1), 1991`Los Angeles Dodgers
P.Molitor (5.3), 1991`Milwaukee Brewers
K.Tapani (6.8), 1991`Minnesota Twins
D.Cone (4.3), 1991`New York Mets
S.Sax (4.1), 1991`New York Yankees
D.Henderson (5.4), 1991`Oakland Athletics
J.Kruk (4.7), 1991`Philadelphia Phillies
B.Bonds (7.9), 1991`Pittsburgh Pirates
T.Gwynn (5.6), 1991`San Diego Padres
M.Williams (5.4), 1991`San Francisco Giants
K.Griffey (7.1), 1991`Seattle Mariners
O.Smith (5.0), 1991`St. Louis Cardinals
J.Franco (6.2), 1991`Texas Rangers
D.White (6.3), 1991`Toronto Blue Jays
D.Martinez (5.8), 1991`Montreal Expos
R.Gant (5.5), 1990`Atlanta Braves
C.Ripken (7.5), 1990`Baltimore Orioles
R.Clemens (10.6), 1990`Boston Red Sox
R.Sandberg (7.1), 1990`Chicago Cubs
C.Fisk (4.8), 1990`Chicago White Sox
J.Rijo (5.8), 1990`Cincinnati Reds
B.Jacoby (3.5), 1990`Cleveland Indians
A.Trammell (6.7), 1990`Detroit Tigers
D.Darwin (5.3), 1990`Houston Astros
K.Appier (5.3), 1990`Kansas City Royals
C.Finley (7.7), 1990`California Angels
E.Murray (5.1), 1990`Los Angeles Dodgers
R.Robinson (3.3), 1990`Milwaukee Brewers
G.Gagne (3.2), 1990`Minnesota Twins
F.Viola (6.3), 1990`New York Mets
R.Kelly (5.4), 1990`New York Yankees
R.Henderson (9.9), 1990`Oakland Athletics
L.Dykstra (8.9), 1990`Philadelphia Phillies
B.Bonds (9.7), 1990`Pittsburgh Pirates
E.Whitson (7.1), 1990`San Diego Padres
M.Williams (4.9), 1990`San Francisco Giants
E.Martinez (5.5), 1990`Seattle Mariners
W.McGee (4.4), 1990`St. Louis Cardinals
J.Franco (6.8), 1990`Texas Rangers
D.Stieb (5.9), 1990`Toronto Blue Jays
D.Martinez (4.3), 1990`Montreal Expos
L.Smith (8.8), 1989`Atlanta Braves
C.Ripken (6.6), 1989`Baltimore Orioles
W.Boggs (8.4), 1989`Boston Red Sox
R.Sandberg (6.1), 1989`Chicago Cubs
C.Fisk (3.3), 1989`Chicago White Sox
R.Dibble (3.9), 1989`Cincinnati Reds
T.Candiotti (4.7), 1989`Cleveland Indians
L.Whitaker (5.3), 1989`Detroit Tigers
K.Caminiti (4.8), 1989`Houston Astros
B.Saberhagen (9.7), 1989`Kansas City Royals
B.Blyleven (6.0), 1989`California Angels
O.Hershiser (7.3), 1989`Los Angeles Dodgers
R.Yount (5.8), 1989`Milwaukee Brewers
K.Puckett (4.9), 1989`Minnesota Twins
H.Johnson (6.9), 1989`New York Mets
S.Sax (4.4), 1989`New York Yankees
M.Moore (5.5), 1989`Oakland Athletics
V.Hayes (5.1), 1989`Philadelphia Phillies
B.Bonds (8.0), 1989`Pittsburgh Pirates
E.Whitson (6.7), 1989`San Diego Padres
W.Clark (8.6), 1989`San Francisco Giants
S.Bankhead (4.6), 1989`Seattle Mariners
O.Smith (7.3), 1989`St. Louis Cardinals
R.Sierra (5.9), 1989`Texas Rangers
F.McGriff (6.6), 1989`Toronto Blue Jays
M.Langston (4.9), 1989`Montreal Expos
P.Smith (3.2), 1988`Atlanta Braves
C.Ripken (5.7), 1988`Baltimore Orioles
W.Boggs (8.2), 1988`Boston Red Sox
G.Maddux (5.7), 1988`Chicago Cubs
O.Guillen (3.4), 1988`Chicago White Sox
B.Larkin (7.0), 1988`Cincinnati Reds
G.Swindell (5.9), 1988`Cleveland Indians
A.Trammell (6.0), 1988`Detroit Tigers
G.Davis (4.2), 1988`Houston Astros
M.Gubicza (7.8), 1988`Kansas City Royals
D.Schofield (3.7), 1988`California Angels
O.Hershiser (7.1), 1988`Los Angeles Dodgers
T.Higuera (7.4), 1988`Milwaukee Brewers
F.Viola (7.7), 1988`Minnesota Twins
D.Cone (5.8), 1988`New York Mets
R.Henderson (6.3), 1988`New York Yankees
J.Canseco (7.2), 1988`Oakland Athletics
K.Gross (3.6), 1988`Philadelphia Phillies
A.Van Slyke (6.4), 1988`Pittsburgh Pirates
R.Alomar (4.3), 1988`San Diego Padres
B.Butler (6.8), 1988`San Francisco Giants
M.Langston (5.7), 1988`Seattle Mariners
O.Smith (6.6), 1988`St. Louis Cardinals
S.Buechele (4.2), 1988`Texas Rangers
F.McGriff (6.2), 1988`Toronto Blue Jays
A.Galarraga (5.7), 1988`Montreal Expos
D.Murphy (7.7), 1987`Atlanta Braves
E.Murray (3.8), 1987`Baltimore Orioles
R.Clemens (9.4), 1987`Boston Red Sox
R.Sutcliffe (6.6), 1987`Chicago Cubs
I.Calderon (4.2), 1987`Chicago White Sox
E.Davis (7.9), 1987`Cincinnati Reds
B.Butler (4.9), 1987`Cleveland Indians
A.Trammell (8.2), 1987`Detroit Tigers
M.Scott (5.6), 1987`Houston Astros
B.Saberhagen (8.0), 1987`Kansas City Royals
D.White (5.6), 1987`California Angels
B.Welch (7.5), 1987`Los Angeles Dodgers
T.Higuera (6.5), 1987`Milwaukee Brewers
F.Viola (8.1), 1987`Minnesota Twins
D.Strawberry (6.4), 1987`New York Mets
D.Mattingly (5.1), 1987`New York Yankees
C.Lansford (5.2), 1987`Oakland Athletics
M.Schmidt (6.1), 1987`Philadelphia Phillies
B.Bonds (5.8), 1987`Pittsburgh Pirates
T.Gwynn (8.5), 1987`San Diego Padres
W.Clark (4.2), 1987`San Francisco Giants
M.Langston (5.9), 1987`Seattle Mariners
O.Smith (6.4), 1987`St. Louis Cardinals
P.O'Brien (3.3), 1987`Texas Rangers
J.Key (7.4), 1987`Toronto Blue Jays
T.Raines (6.7), 1987`Montreal Expos
D.Palmer (3.7), 1986`Atlanta Braves
C.Ripken (6.6), 1986`Baltimore Orioles
R.Clemens (8.9), 1986`Boston Red Sox
J.Davis (4.0), 1986`Chicago Cubs
H.Baines (2.8), 1986`Chicago White Sox
E.Davis (5.3), 1986`Cincinnati Reds
J.Carter (5.7), 1986`Cleveland Indians
A.Trammell (6.3), 1986`Detroit Tigers
M.Scott (8.2), 1986`Houston Astros
F.White (4.0), 1986`Kansas City Royals
M.Witt (6.2), 1986`California Angels
F.Valenzuela (6.2), 1986`Los Angeles Dodgers
T.Higuera (9.4), 1986`Milwaukee Brewers
G.Gaetti (5.8), 1986`Minnesota Twins
K.Hernandez (5.5), 1986`New York Mets
D.Mattingly (7.2), 1986`New York Yankees
T.Phillips (4.4), 1986`Oakland Athletics
M.Schmidt (6.1), 1986`Philadelphia Phillies
R.Rhoden (7.7), 1986`Pittsburgh Pirates
T.Gwynn (6.6), 1986`San Diego Padres
C.Davis (4.1), 1986`San Francisco Giants
M.Moore (4.7), 1986`Seattle Mariners
O.Smith (5.6), 1986`St. Louis Cardinals
S.Fletcher (4.7), 1986`Texas Rangers
J.Barfield (7.6), 1986`Toronto Blue Jays
T.Raines (5.5), 1986`Montreal Expos
D.Murphy (5.0), 1985`Atlanta Braves
E.Murray (5.6), 1985`Baltimore Orioles
W.Boggs (9.1), 1985`Boston Red Sox
R.Sandberg (5.8), 1985`Chicago Cubs
T.Seaver (5.0), 1985`Chicago White Sox
D.Parker (4.7), 1985`Cincinnati Reds
B.Butler (4.7), 1985`Cleveland Indians
K.Gibson (5.4), 1985`Detroit Tigers
B.Doran (5.3), 1985`Houston Astros
G.Brett (8.3), 1985`Kansas City Royals
G.Pettis (3.8), 1985`California Angels
P.Guerrero (7.9), 1985`Los Angeles Dodgers
P.Molitor (3.7), 1985`Milwaukee Brewers
K.Puckett (2.9), 1985`Minnesota Twins
D.Gooden (13.2), 1985`New York Mets
R.Henderson (9.9), 1985`New York Yankees
M.Davis (4.7), 1985`Oakland Athletics
M.Schmidt (5.0), 1985`Philadelphia Phillies
R.Reuschel (6.4), 1985`Pittsburgh Pirates
T.Gwynn (5.2), 1985`San Diego Padres
M.Krukow (3.5), 1985`San Francisco Giants
M.Moore (6.3), 1985`Seattle Mariners
J.Tudor (8.3), 1985`St. Louis Cardinals
C.Hough (6.3), 1985`Texas Rangers
D.Stieb (6.9), 1985`Toronto Blue Jays
T.Raines (7.6), 1985`Montreal Expos
D.Murphy (5.5), 1984`Atlanta Braves
C.Ripken (10.0), 1984`Baltimore Orioles
W.Boggs (6.2), 1984`Boston Red Sox
R.Sandberg (8.5), 1984`Chicago Cubs
H.Baines (4.3), 1984`Chicago White Sox
M.Soto (4.9), 1984`Cincinnati Reds
B.Blyleven (7.2), 1984`Cleveland Indians
A.Trammell (6.7), 1984`Detroit Tigers
J.Cruz (6.3), 1984`Houston Astros
B.Black (4.7), 1984`Kansas City Royals
M.Witt (4.6), 1984`California Angels
A.Pena (5.1), 1984`Los Angeles Dodgers
R.Yount (5.9), 1984`Milwaukee Brewers
K.Hrbek (5.5), 1984`Minnesota Twins
K.Hernandez (6.3), 1984`New York Mets
D.Mattingly (6.3), 1984`New York Yankees
R.Henderson (6.0), 1984`Oakland Athletics
M.Schmidt (7.0), 1984`Philadelphia Phillies
R.Rhoden (6.5), 1984`Pittsburgh Pirates
T.Gwynn (6.3), 1984`San Diego Padres
C.Davis (5.1), 1984`San Francisco Giants
A.Davis (5.9), 1984`Seattle Mariners
O.Smith (5.0), 1984`St. Louis Cardinals
B.Bell (6.1), 1984`Texas Rangers
D.Stieb (7.9), 1984`Toronto Blue Jays
G.Carter (7.4), 1984`Montreal Expos
D.Murphy (7.1), 1983`Atlanta Braves
C.Ripken (8.2), 1983`Baltimore Orioles
W.Boggs (7.8), 1983`Boston Red Sox
L.Smith (4.8), 1983`Chicago Cubs
R.Dotson (5.1), 1983`Chicago White Sox
M.Soto (6.7), 1983`Cincinnati Reds
L.Sorensen (3.9), 1983`Cleveland Indians
L.Whitaker (6.7), 1983`Detroit Tigers
D.Thon (7.4), 1983`Houston Astros
D.Quisenberry (5.5), 1983`Kansas City Royals
B.Grich (4.3), 1983`California Angels
P.Guerrero (5.5), 1983`Los Angeles Dodgers
R.Yount (7.2), 1983`Milwaukee Brewers
J.Castino (4.4), 1983`Minnesota Twins
K.Hernandez (4.3), 1983`New York Mets
R.Guidry (5.3), 1983`New York Yankees
R.Henderson (6.9), 1983`Oakland Athletics
J.Denny (7.6), 1983`Philadelphia Phillies
J.Ray (5.1), 1983`Pittsburgh Pirates
T.Kennedy (4.4), 1983`San Diego Padres
A.Hammaker (4.4), 1983`San Francisco Giants
M.Young (5.1), 1983`Seattle Mariners
D.Porter (3.9), 1983`St. Louis Cardinals
B.Bell (4.7), 1983`Texas Rangers
D.Stieb (7.0), 1983`Toronto Blue Jays
G.Carter (7.1), 1983`Montreal Expos
D.Murphy (6.1), 1982`Atlanta Braves
E.Murray (5.2), 1982`Baltimore Orioles
D.Evans (6.4), 1982`Boston Red Sox
L.Durham (4.6), 1982`Chicago Cubs
L.Hoyt (5.0), 1982`Chicago White Sox
M.Soto (7.7), 1982`Cincinnati Reds
T.Harrah (6.5), 1982`Cleveland Indians
L.Whitaker (5.4), 1982`Detroit Tigers
D.Thon (6.1), 1982`Houston Astros
W.Wilson (6.3), 1982`Kansas City Royals
D.DeCinces (7.6), 1982`California Angels
P.Guerrero (6.8), 1982`Los Angeles Dodgers
R.Yount (10.5), 1982`Milwaukee Brewers
T.Brunansky (5.6), 1982`Minnesota Twins
J.Stearns (3.8), 1982`New York Mets
R.Gossage (4.5), 1982`New York Yankees
R.Henderson (6.7), 1982`Oakland Athletics
M.Schmidt (7.4), 1982`Philadelphia Phillies
B.Madlock (6.2), 1982`Pittsburgh Pirates
S.Lezcano (5.9), 1982`San Diego Padres
G.Minton (5.5), 1982`San Francisco Giants
F.Bannister (4.9), 1982`Seattle Mariners
L.Smith (6.1), 1982`St. Louis Cardinals
B.Bell (5.7), 1982`Texas Rangers
D.Stieb (7.7), 1982`Toronto Blue Jays
G.Carter (8.6), 1982`Montreal Expos
R.Camp (2.7), 1981`Atlanta Braves
E.Murray (3.7), 1981`Baltimore Orioles
D.Evans (6.7), 1981`Boston Red Sox
M.Krukow (2.2), 1981`Chicago Cubs
C.Lemon (4.0), 1981`Chicago White Sox
T.Seaver (4.4), 1981`Cincinnati Reds
B.Blyleven (5.6), 1981`Cleveland Indians
L.Whitaker (3.8), 1981`Detroit Tigers
N.Ryan (5.1), 1981`Houston Astros
W.Wilson (4.1), 1981`Kansas City Royals
B.Grich (5.4), 1981`California Angels
F.Valenzuela (5.3), 1981`Los Angeles Dodgers
R.Yount (4.9), 1981`Milwaukee Brewers
D.Corbett (2.9), 1981`Minnesota Twins
H.Brooks (2.6), 1981`New York Mets
D.Righetti (3.5), 1981`New York Yankees
R.Henderson (6.6), 1981`Oakland Athletics
M.Schmidt (7.7), 1981`Philadelphia Phillies
B.Madlock (3.5), 1981`Pittsburgh Pirates
G.Richards (2.7), 1981`San Diego Padres
D.Alexander (3.5), 1981`San Francisco Giants
T.Paciorek (4.3), 1981`Seattle Mariners
K.Hernandez (4.2), 1981`St. Louis Cardinals
B.Bell (6.2), 1981`Texas Rangers
D.Stieb (4.5), 1981`Toronto Blue Jays
A.Dawson (7.4), 1981`Montreal Expos
D.Murphy (6.5), 1980`Atlanta Braves
A.Bumbry (6.1), 1980`Baltimore Orioles
F.Lynn (4.7), 1980`Boston Red Sox
R.Reuschel (5.6), 1980`Chicago Cubs
B.Burns (7.0), 1980`Chicago White Sox
G.Foster (4.0), 1980`Cincinnati Reds
T.Harrah (4.4), 1980`Cleveland Indians
A.Trammell (4.8), 1980`Detroit Tigers
T.Puhl (6.2), 1980`Houston Astros
G.Brett (9.4), 1980`Kansas City Royals
B.Grich (4.1), 1980`California Angels
D.Sutton (5.5), 1980`Los Angeles Dodgers
R.Yount (7.1), 1980`Milwaukee Brewers
D.Corbett (5.7), 1980`Minnesota Twins
L.Mazzilli (3.2), 1980`New York Mets
W.Randolph (6.6), 1980`New York Yankees
R.Henderson (8.8), 1980`Oakland Athletics
S.Carlton (10.2), 1980`Philadelphia Phillies
M.Easler (4.1), 1980`Pittsburgh Pirates
O.Smith (5.0), 1980`San Diego Padres
J.Clark (4.7), 1980`San Francisco Giants
F.Bannister (4.3), 1980`Seattle Mariners
K.Hernandez (6.6), 1980`St. Louis Cardinals
B.Bell (6.5), 1980`Texas Rangers
J.Clancy (5.6), 1980`Toronto Blue Jays
A.Dawson (6.8), 1980`Montreal Expos
